id,region,ideology,relserv,marstat,ethnic,gender
1458,4,6,2,5,5,1
1469,1,2,3,1,5,1
1470,2,6,6,2,5,2
1476,4,6,6,1,4,1
1479,4,6,3,6,4,1
1480,4,6,2,1,5,1
1487,1,9,5,4,4,2
1490,4,5,3,1,5,2
1491,4,9,2,2,2,2
1492,4,5,5,3,5,2
1493,4,3,5,1,5,2
1494,4,1,6,1,5,1
1495,4,5,2,1,5,1
1497,4,5,6,5,5,1
1500,4,4,4,3,5,2
1501,3,7,2,1,4,1
1502,3,5,1,1,5,1
1503,3,3,3,1,4,2
1504,3,5,4,1,5,2
1505,3,5,4,1,5,2
1510,1,6,4,3,5,1
1511,1,5,5,3,5,2
1512,1,3,5,1,5,2
1515,1,2,6,1,5,2
1516,1,6,2,1,5,2
1518,1,5,1,1,5,2
1520,1,3,6,1,4,1
1521,4,7,6,1,5,1
1522,4,1,6,1,4,1
1524,1,5,1,1,5,2
1525,1,5,1,2,5,2
1527,3,6,3,1,5,1
1528,1,9,5,5,5,1
1530,3,5,5,1,5,1
1531,3,5,6,5,5,1
1532,3,5,3,5,5,1
1536,3,9,2,1,5,1
1540,1,5,2,1,5,1
1541,1,6,6,1,5,2
1544,3,6,2,1,5,1
1545,3,5,5,4,4,2
1546,3,5,5,5,5,1
1547,3,7,2,1,5,1
1553,1,2,4,3,1,2
1555,1,3,1,5,5,2
1556,1,3,3,3,4,2
1557,1,6,5,2,5,1
1559,4,9,1,1,5,2
1560,3,7,1,5,5,1
1561,1,3,3,1,5,1
1562,3,6,6,2,5,2
1563,3,3,4,1,1,2
1565,4,2,5,5,4,1
1567,3,3,6,1,5,2
1570,1,5,4,1,5,1
1571,1,4,6,5,5,1
1573,1,6,4,3,5,2
1574,1,2,6,1,5,2
1575,1,3,2,2,5,2
1579,4,9,6,1,1,1
1580,2,6,2,1,5,2
1586,2,1,4,3,5,1
1588,4,5,5,3,5,1
1592,2,5,2,2,5,2
1596,4,5,2,3,5,2
1604,4,3,6,1,5,1
1605,2,7,3,2,5,2
1607,1,9,6,1,5,2
1608,3,5,2,1,5,1
1609,1,5,4,5,1,1
1611,2,5,6,6,5,1
1613,1,3,2,3,1,2
1614,2,5,4,1,5,2
1616,1,3,5,1,5,1
1619,3,4,5,3,5,2
1620,3,3,4,1,5,1
1621,3,3,6,4,5,2
1622,3,5,5,1,5,2
1623,3,1,5,1,5,1
1625,2,2,6,6,5,2
1630,3,9,6,5,5,2
1632,3,2,4,2,5,2
1639,1,5,1,1,4,1
1640,4,5,4,1,1,1
1642,4,5,3,1,5,1
1645,2,6,2,1,5,1
1646,2,5,2,2,5,2
1647,2,7,2,1,5,1
1650,4,5,4,2,5,2
1655,3,2,1,1,2,2
1660,3,2,4,3,5,1
1664,3,6,6,1,5,2
1666,4,3,5,1,5,1
1676,2,9,4,5,5,1
1677,3,3,3,3,1,2
1678,3,5,3,1,4,2
1682,3,6,2,3,5,2
1684,3,3,2,1,5,2
1685,3,9,3,3,1,2
1686,3,1,5,1,5,1
1688,2,3,4,1,5,2
1693,3,5,4,1,5,1
1694,4,3,5,3,5,2
1698,4,5,6,1,5,1
1700,2,2,4,3,5,2
1701,2,5,1,1,5,2
1703,1,6,2,1,5,1
1704,3,5,1,1,5,2
1706,4,9,2,1,2,2
1708,3,3,3,1,5,2
1710,4,9,6,1,5,1
1713,4,3,4,1,5,1
1717,4,3,3,3,.,2
1719,4,9,6,1,4,2
1720,4,6,.,0,.,2
1723,1,5,5,2,5,1
1725,1,3,6,5,1,2
1730,1,5,3,1,5,1
1733,1,6,2,1,5,1
1734,3,7,1,1,5,1
1736,4,9,2,1,5,2
1741,3,6,5,1,5,1
1743,3,7,1,1,5,2
1745,2,7,2,5,5,2
1746,3,5,2,1,5,2
1748,4,5,4,5,5,1
1749,2,3,3,5,5,1
1750,2,7,1,1,5,2
1751,2,3,6,1,5,2
1753,2,6,3,1,5,1
1756,1,6,2,1,6,2
1763,3,5,3,1,5,2
1764,3,5,4,1,5,2
1766,3,5,5,3,5,1
1767,3,7,1,1,5,1
1769,3,6,2,1,5,1
1770,3,5,4,1,5,1
1772,2,3,3,1,5,1
1773,1,5,2,2,5,2
1774,4,2,6,5,5,1
1777,3,5,3,1,5,2
1779,2,5,1,1,5,2
1781,2,9,6,4,5,2
1793,1,2,6,5,5,2
1794,1,6,3,2,5,2
1795,1,3,3,1,5,1
1798,3,3,6,1,5,2
1800,3,3,5,3,5,2
1803,2,6,1,1,5,1
1804,2,5,6,3,5,2
1807,3,5,1,4,1,2
1809,2,3,2,5,5,2
